Ns changes	Ns	time/s	voltage_measured	I/mA	(Q-Qo)/mA.h	Energy charge/W.h	Energy discharge/W.h	step time/s	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	cycle number	P/W	R/Ohm	Temperature/ï¿½C	Unnamed: 16	operator_notes
0	1	88.1240041856654	3.4917881	-899.8855	-19.52319633945041	0.0	0.068283843460829	88.1240041856654	19.52319633945043	0.0	19.52319633945043	0.0	-3.1422095	3.8802583	22.63517		
0	1	88.22400419041514	3.4919064	-899.78699	-19.54819265509711	0.0	0.06837112676486545	88.22400419041514	19.54819265509713	0.0	19.54819265509713	0.0	-3.1419718	3.8808146	22.564228		
0	1	88.32400419516489	3.4918671	-899.82635	-19.57318878472222	0.0	0.06845840922254774	88.32400419516489	19.57318878472223	0.0	19.57318878472223	0.0	-3.1420741	3.8806009	22.540581		
0	1	88.42400419991463	3.4919064	-899.90515	-19.59818513339572	0.0	0.06854569187377929	88.42400419991463	19.59818513339574	0.0	19.59818513339574	0.0	-3.1423845	3.8803051	22.60364		
0	1	88.52400420466438	3.4918277	-899.8855	-19.62318137237549	0.0	0.06863297445705838	88.52400420466438	19.6231813723755	0.0	19.6231813723755	0.0	-3.1422451	3.8803022	22.524817		
0	1	88.62400420941412	3.4918671	-899.82635	-19.64817796159532	0.0	0.06872025800767687	88.62400420941412	19.64817796159534	0.0	19.64817796159534	0.0	-3.1420741	3.8806009	22.73764		
0	1	88.72400421416387	3.4917881	-899.86578	-19.6731748682997	0.0	0.06880754174018013	88.72400421416387	19.67317486829971	0.0	19.67317486829971	0.0	-3.1421406	3.8803432	22.824348		
0	1	88.82400421891361	3491.8671	-899.8855	-19.69817124976264	0.0	0.0688948236984592	88.82400421891361	19.69817124976266	0.0	19.69817124976266	0.0	-3.1422806	3.8803461	22.792818		
0	1	88.92400422366336	3.4917881	-899.96429	-19.72316793782552	0.0	0.06898210605767144	88.92400422366336	19.72316793782554	0.0	19.72316793782554	0.0	-3.1424847	3.8799186	22.769171		
0	1	89.0240042284131	3.4917488	-899.86578	-19.74816440673828	0.0	0.06906938702094184	89.0240042284131	19.7481644067383	0.0	19.7481644067383	0.0	-3.1421053	3.8802996	22.611523		
0	1	89.12400423316285	3.4917488	-899.84613	-19.77316040517171	0.0	0.06915666649943034	89.12400423316285	19.77316040517173	0.0	19.77316040517173	0.0	-3.1420367	3.8803842	22.524817		
0	1	89.2240042379126	3.4917881	-899.8855	-19.79815684146457	0.0	0.06924394750664604	89.2240042379126	19.79815684146459	0.0	19.79815684146459	0.0	-3.1422095	3.8802583	22.816465		
0	1	89.32400424266234	3491.7488	-899.84613	-19.82315320098877	0.0	0.0693312273010254	89.32400424266234	19.82315320098879	0.0	19.82315320098879	0.0	-3.1420367	3.8803842	22.643053		
0	1	89.42400424741209	3.4917095	-899.96429	-19.84815003106011	0.0	0.06941850852213542	89.42400424741209	19.84815003106013	0.0	19.84815003106013	0.0	-3.1424139	3.8798311	22.579992		
0	1	89.52400425216183	3.4917488	-899.8067	-19.87314633582221	0.0	0.06950578788913303	89.52400425216183	19.87314633582223	0.0	19.87314633582223	0.0	-3.1418989	3.8805544	22.564228		
0	1	89.62400425691158	3.4916701	-899.86578	-19.89814249833849	0.0	0.06959306610961914	89.62400425691158	19.89814249833851	0.0	19.89814249833851	0.0	-3.1420345	3.8802121	22.698229		
0	1	89.72400426166132	3.4917881	-899.92493	-19.92313894541423	0.0	0.0696803455597602	89.72400426166132	19.92313894541424	0.0	19.92313894541424	0.0	-3.1423471	3.8800883	22.611523		
0	1	89.82400426641107	3491.5125		-19.94813537082248	0.0	0.06976762428426107	89.82400426641107	19.9481353708225	0.0	19.9481353708225	0.0	-3.1419616	3.879952	22.674582		
0	1	89.92400427116081	3491.5519		-19.97313170850966	0.0	0.06985490246622722	89.92400427116081	19.97313170850968	0.0	19.97313170850968	0.0	-3.1421347	3.8798258	22.619404		
0	1	90.02400427591056	3.4915519	-899.90515	-19.99812815551758	0.0	0.06994218067586264	90.02400427591056	19.9981281555176	0.0	19.9981281555176	0.0	-3.1420655	3.8799109	22.784935		
0	1	90.1240042806603	3.4915125	-899.82635	-20.02312412099203	0.0	0.07002945684909397	90.1240042806603	20.02312412099204	0.0	20.02312412099204	0.0	-3.1417551	3.8802071	22.619404		
0	1	90.22400428541005	3.4917095	-899.86578	-20.04812051310221	0.0	0.07011673423583985	90.22400428541005	20.04812051310223	0.0	20.04812051310223	0.0	-3.1420698	3.8802559	22.524817		
0	1	90.3240042901598	3.4915519	-899.94458	-20.07311688357883	0.0	0.07020401176378038	90.3240042901598	20.07311688357885	0.0	20.07311688357885	0.0	-3.1422031	3.879741	22.595758		
0	1	90.42400429490954	3.4915912	-899.86578	-20.0981132977634	0.0	0.07029128883341472	90.42400429490954	20.09811329776342	0.0	20.09811329776342	0.0	-3.1419635	3.8801243	22.627287		
0	1	90.52400429965928	3.4915125	-899.86578	-20.12310955881755	0.0	0.07037856489556206	90.52400429965928	20.12310955881757	0.0	20.12310955881757	0.0	-3.1418927	3.8800371	22.398697		
0	1	90.62400430440904	3.4916308	-899.84613	-20.14810579806858	0.0	0.07046584072401259	90.62400430440904	20.1481057980686	0.0	20.1481057980686	0.0	-3.1419303	3.8802531	22.564228		
